Simulation #,Avg Queue Length A,Avg Fuel Wait A,Avg Queue Length B,Avg Fuel Wait B,Clerk Utilization,Pump B Max Queue,Avg Invoice Wait,Pump A Max Queue,Pump B Utilization,Avg Stay Time B,Avg Stay Time A,Avg Invoice Queue Length,Final Queue B,Final Queue A,Final Invoice Queue,Pump A Utilization
1,10.00,41.52,0.23,5.07,18.38,5.00,0.26,30.00,37.79,6.89,45.68,0.06,0.00,0.00,0.00,94.09
2,4.56,19.92,0.49,8.95,22.29,6.00,0.54,15.00,47.46,10.35,24.01,0.10,0.00,0.00,0.00,89.91
3,7.73,32.36,0.45,9.29,20.75,8.00,0.42,22.00,44.31,10.54,35.78,0.08,0.00,0.00,0.00,91.47
4,6.87,30.53,0.25,6.86,21.01,3.00,0.61,22.00,36.04,8.66,35.80,0.12,0.00,0.00,0.00,90.95
5,10.97,43.66,0.29,6.21,19.89,4.00,0.43,27.00,41.31,7.56,46.61,0.11,0.00,0.00,0.00,97.18
6,6.42,28.01,0.59,7.56,19.91,6.00,0.30,19.00,44.49,9.01,30.63,0.07,0.00,0.00,0.00,97.03
7,11.23,49.12,0.28,5.47,18.76,4.00,0.53,31.00,38.11,7.55,48.10,0.10,0.00,0.00,0.00,97.26
8,4.49,20.97,0.32,5.39,21.68,4.00,0.24,19.00,39.73,8.21,22.87,0.06,0.00,0.00,0.00,89.99
9,16.63,69.05,0.45,7.95,20.30,5.00,0.52,36.00,39.73,9.52,72.51,0.10,0.00,0.00,0.00,106.38
10,24.44,95.43,0.23,5.23,22.89,3.00,0.41,42.00,37.08,6.62,92.66,0.08,0.00,0.00,0.00,103.68
11,6.17,25.02,0.38,6.11,20.84,4.00,0.39,19.00,41.00,9.17,28.58,0.10,0.00,0.00,0.00,95.83
12,6.16,28.75,1.50,19.15,19.89,12.00,0.71,21.00,52.05,15.79,31.38,0.12,0.00,0.00,0.00,90.47
13,18.06,89.57,0.26,5.53,18.77,4.00,0.33,72.00,38.63,6.71,92.92,0.06,0.00,0.00,0.00,119.06
14,13.34,53.65,0.20,4.93,20.05,3.00,0.25,28.00,38.18,7.26,54.23,0.06,0.00,0.00,0.00,97.61
15,3.80,15.87,0.32,6.80,20.68,5.00,0.42,15.00,41.06,8.17,20.05,0.10,0.00,0.00,0.00,90.16
16,6.46,26.12,0.45,8.06,22.82,7.00,0.39,22.00,39.98,9.75,29.14,0.11,0.00,0.00,0.00,93.86
17,3.19,15.15,0.28,5.37,19.62,5.00,0.53,18.00,38.69,8.70,17.80,0.11,0.00,0.00,0.00,85.44
18,3.89,16.75,0.46,7.11,21.03,6.00,0.44,16.00,42.51,9.11,21.20,0.08,0.00,0.00,0.00,88.92
19,2.63,13.31,0.19,4.52,16.40,5.00,0.21,15.00,35.62,7.46,17.93,0.04,0.00,0.00,0.00,82.68
20,8.21,34.82,0.33,5.27,18.55,4.00,0.40,25.00,42.93,7.69,37.63,0.08,0.00,0.00,0.00,94.56
21,3.97,18.94,0.39,7.53,20.65,5.00,0.66,15.00,39.01,9.06,19.91,0.13,0.00,0.00,0.00,83.50
22,23.95,90.19,0.12,3.42,20.01,3.00,0.55,39.00,29.88,6.44,96.65,0.13,0.00,0.00,0.00,107.13
23,7.58,35.46,0.42,6.07,23.45,4.00,0.62,21.00,48.46,7.92,37.16,0.11,0.00,0.00,0.00,91.25
24,10.27,42.78,0.17,4.31,20.41,3.00,0.40,31.00,36.55,7.13,44.69,0.07,0.00,0.00,0.00,99.67
25,10.33,49.64,0.22,5.82,19.10,4.00,0.49,35.00,32.26,7.47,48.08,0.09,0.00,0.00,0.00,94.66
26,9.29,39.27,0.21,5.40,22.62,4.00,0.47,28.00,36.41,6.58,40.41,0.08,0.00,0.00,0.00,99.27
27,10.02,40.44,0.40,6.75,20.55,5.00,0.31,25.00,41.95,8.02,43.38,0.07,0.00,0.00,0.00,97.97
28,4.18,19.30,0.31,5.22,20.18,4.00,0.28,14.00,44.11,8.03,21.55,0.05,0.00,0.00,0.00,89.61
29,2.10,12.01,0.20,5.59,19.88,4.00,0.56,12.00,36.39,7.17,14.14,0.09,0.00,0.00,0.00,75.03
30,1.53,8.58,0.32,5.41,21.24,3.00,0.41,10.00,38.29,6.37,10.32,0.09,0.00,0.00,0.00,75.51
31,4.53,19.99,0.39,6.21,18.16,4.00,0.44,13.00,43.31,7.82,24.57,0.09,0.00,0.00,0.00,91.48
32,4.30,18.71,0.27,5.06,19.74,5.00,0.42,14.00,41.97,7.62,22.56,0.10,0.00,0.00,0.00,87.57
33,20.04,83.82,0.21,5.12,21.87,5.00,0.56,36.00,32.38,8.27,90.58,0.12,0.00,0.00,0.00,107.78
34,27.34,121.87,0.30,6.00,20.81,4.00,0.44,46.00,43.28,8.86,117.22,0.08,0.00,0.00,0.00,106.71
35,8.53,38.18,0.35,5.90,20.72,4.00,0.48,29.00,43.33,8.67,41.24,0.11,0.00,0.00,0.00,100.61
36,5.94,26.36,0.27,5.70,22.92,4.00,0.69,18.00,40.27,9.18,32.40,0.15,0.00,0.00,0.00,91.29
37,2.78,12.93,0.20,6.46,19.90,4.00,0.24,11.00,35.29,6.91,15.41,0.06,0.00,0.00,0.00,80.95
38,8.01,32.32,0.13,3.98,20.21,3.00,0.60,18.00,36.11,6.62,36.43,0.11,0.00,0.00,0.00,97.09
39,7.05,27.90,0.28,5.38,20.27,5.00,0.39,18.00,39.42,7.60,31.44,0.07,0.00,0.00,0.00,94.15
40,3.44,17.30,0.21,6.36,17.89,5.00,0.35,13.00,31.43,6.25,20.37,0.08,0.00,0.00,0.00,86.14
41,6.76,26.05,0.27,5.06,18.11,4.00,0.34,18.00,41.22,7.98,26.76,0.08,0.00,0.00,0.00,96.41
42,5.50,24.11,0.29,7.13,24.01,4.00,0.97,18.00,39.77,10.81,27.37,0.19,0.00,0.00,0.00,89.28
43,2.51,13.72,0.28,5.29,22.98,4.00,0.82,16.00,40.29,6.48,18.05,0.13,0.00,0.00,0.00,83.10
44,5.70,24.02,0.45,6.32,18.93,6.00,0.30,17.00,45.36,7.72,29.09,0.07,0.00,0.00,0.00,91.78
45,20.12,92.53,0.36,6.59,19.75,4.00,0.42,53.00,47.63,8.60,88.34,0.06,0.00,0.00,0.00,91.53
46,7.60,36.00,0.35,6.40,17.14,4.00,0.49,33.00,44.07,8.18,34.53,0.09,0.00,0.00,0.00,94.14
47,18.43,77.23,0.39,6.87,22.59,5.00,0.49,42.00,45.22,9.02,78.14,0.12,0.00,0.00,0.00,102.84
48,4.25,18.90,0.22,4.73,21.96,4.00,0.69,17.00,35.82,6.84,19.97,0.13,0.00,0.00,0.00,91.56
49,5.71,23.84,0.31,6.99,20.77,6.00,0.38,24.00,41.19,9.10,29.01,0.08,0.00,0.00,0.00,94.85
50,6.78,30.02,0.33,5.16,19.23,4.00,0.60,18.00,47.89,9.10,33.08,0.13,0.00,0.00,0.00,92.06
51,5.45,23.43,0.18,4.83,19.94,3.00,0.80,19.00,37.69,7.50,28.00,0.15,0.00,0.00,0.00,94.19
52,5.94,26.33,0.34,5.91,21.59,5.00,0.69,17.00,35.89,8.15,33.35,0.12,0.00,0.00,0.00,92.99
53,2.66,14.46,0.21,4.36,20.47,4.00,0.55,12.00,37.20,6.86,16.89,0.10,0.00,0.00,0.00,82.38
54,12.29,49.37,0.30,5.50,21.59,4.00,0.42,30.00,41.11,8.39,55.58,0.09,0.00,0.00,0.00,95.45
55,5.09,23.67,0.17,5.70,18.11,4.00,0.23,18.00,28.11,6.17,26.70,0.04,0.00,0.00,0.00,90.86
56,8.48,36.81,0.24,5.50,20.08,4.00,0.33,20.00,39.17,7.78,40.51,0.07,0.00,0.00,0.00,97.31
57,1.69,7.44,0.38,5.02,22.52,6.00,0.98,7.00,37.98,7.64,11.97,0.19,0.00,0.00,0.00,83.29
58,6.71,26.47,0.28,4.56,24.68,4.00,0.79,16.00,41.97,7.99,31.49,0.21,0.00,0.00,0.00,97.88
59,9.44,41.81,0.33,7.55,23.13,4.00,0.56,19.00,40.21,9.53,45.45,0.11,0.00,0.00,0.00,94.46
60,8.88,35.28,0.17,4.55,21.26,3.00,0.47,25.00,36.70,6.42,37.25,0.08,0.00,0.00,0.00,97.22
61,4.95,23.68,0.39,6.36,20.53,6.00,0.59,18.00,41.98,8.09,28.87,0.12,0.00,0.00,0.00,86.36
62,7.95,35.24,0.22,4.67,22.70,3.00,0.42,27.00,37.74,6.87,36.81,0.10,0.00,0.00,0.00,98.08
63,5.44,23.99,0.50,8.69,19.11,6.00,0.43,18.00,37.84,10.52,26.96,0.08,0.00,0.00,0.00,92.67
64,11.17,45.10,0.15,3.26,21.00,3.00,0.40,24.00,35.13,5.91,49.10,0.09,0.00,0.00,0.00,102.94
65,4.18,18.86,0.20,3.86,21.05,3.00,0.61,18.00,41.52,7.18,21.15,0.13,0.00,0.00,0.00,89.01
66,5.83,25.31,0.65,9.04,22.52,9.00,0.45,26.00,45.56,9.29,25.60,0.09,0.00,0.00,0.00,88.17
67,8.13,35.34,0.57,7.61,22.16,5.00,0.53,26.00,52.06,9.50,35.79,0.12,0.00,0.00,0.00,92.04
68,3.90,17.15,0.26,4.78,20.33,4.00,0.36,13.00,40.10,6.96,20.77,0.09,0.00,0.00,0.00,88.73
69,5.18,21.95,0.38,6.61,22.98,4.00,0.74,17.00,41.01,9.31,25.21,0.16,0.00,0.00,0.00,91.05
70,5.72,27.56,0.21,4.89,14.57,3.00,0.29,25.00,36.67,9.34,27.94,0.07,0.00,0.00,0.00,89.88
71,6.41,26.67,0.43,8.28,19.37,9.00,0.23,24.00,37.63,8.03,25.01,0.05,0.00,0.00,0.00,90.38
72,7.03,30.80,0.19,5.31,21.39,3.00,0.54,16.00,32.29,8.19,33.40,0.11,0.00,0.00,0.00,90.90
73,9.24,41.39,0.23,5.81,22.51,4.00,0.71,24.00,35.78,7.78,45.40,0.16,0.00,0.00,0.00,103.02
74,6.68,30.37,0.40,7.20,18.16,5.00,0.41,18.00,41.21,9.98,32.71,0.08,0.00,0.00,0.00,92.55
75,26.13,99.93,0.54,7.59,21.55,6.00,0.44,46.00,49.88,10.56,103.92,0.10,0.00,0.00,0.00,106.29
76,3.74,17.36,0.33,8.17,17.90,6.00,0.38,14.00,42.20,8.46,20.46,0.09,0.00,0.00,0.00,87.16
77,3.63,16.45,0.50,8.74,19.57,6.00,0.61,13.00,44.23,10.60,19.39,0.13,0.00,0.00,0.00,86.90
78,6.25,26.48,0.16,3.94,19.25,3.00,0.45,22.00,32.05,6.32,30.24,0.07,0.00,0.00,0.00,89.84
79,6.36,33.26,0.33,5.57,18.55,3.00,0.43,22.00,42.05,8.33,32.88,0.07,0.00,0.00,0.00,89.63
80,7.42,29.48,0.38,9.38,21.26,5.00,0.57,21.00,40.05,9.76,34.78,0.10,0.00,0.00,0.00,97.69
81,4.89,22.67,0.23,5.96,23.93,4.00,0.81,23.00,32.02,7.81,25.37,0.17,0.00,0.00,0.00,85.65
82,15.46,74.61,0.19,5.78,19.40,3.00,0.32,37.00,37.41,6.64,83.39,0.05,0.00,0.00,0.00,100.98
83,7.92,32.68,0.24,5.80,18.05,4.00,0.56,21.00,36.30,6.79,36.73,0.08,0.00,0.00,0.00,95.67
84,2.49,12.29,0.13,4.04,20.29,4.00,0.86,9.00,31.05,6.49,16.78,0.18,0.00,0.00,0.00,85.89
85,3.82,15.54,0.16,4.87,21.59,4.00,0.87,12.00,30.00,5.94,20.86,0.16,0.00,0.00,0.00,91.21
86,7.47,32.62,0.15,3.91,20.40,4.00,0.62,25.00,39.14,8.15,36.95,0.16,0.00,0.00,0.00,89.32
87,2.09,11.04,0.65,10.26,18.43,9.00,0.57,8.00,48.83,11.71,14.07,0.09,0.00,0.00,0.00,80.55
88,31.63,124.98,0.43,8.24,19.68,7.00,0.32,47.00,36.07,9.56,130.25,0.05,0.00,0.00,0.00,109.96
89,4.29,20.25,0.28,7.48,18.00,4.00,0.60,16.00,34.86,7.78,23.88,0.12,0.00,0.00,0.00,87.79
90,5.82,25.27,0.41,8.18,22.26,5.00,0.66,19.00,39.51,11.04,29.06,0.17,0.00,0.00,0.00,97.83
91,9.49,42.21,0.21,4.87,18.84,4.00,0.35,32.00,42.17,7.04,44.17,0.08,0.00,0.00,0.00,96.09
92,4.41,19.77,0.27,5.59,20.41,4.00,0.56,16.00,32.52,8.23,23.04,0.12,0.00,0.00,0.00,86.99
93,14.48,63.49,0.38,7.38,18.51,8.00,0.40,39.00,35.59,8.77,62.57,0.07,0.00,0.00,0.00,91.28
94,17.49,72.55,0.26,5.96,25.62,3.00,0.82,43.00,41.48,7.94,80.51,0.14,0.00,0.00,0.00,109.25
95,13.46,53.19,0.24,6.21,21.04,4.00,0.48,33.00,38.81,7.00,56.78,0.09,0.00,0.00,0.00,97.92
96,4.48,22.17,0.22,4.67,20.81,4.00,0.32,15.00,35.05,7.65,23.13,0.07,0.00,0.00,0.00,88.58
97,5.67,27.65,0.46,7.40,26.50,7.00,0.68,26.00,41.97,8.95,29.32,0.13,0.00,0.00,0.00,89.26
98,1.98,8.69,0.19,5.43,20.58,4.00,0.72,9.00,38.82,7.60,11.71,0.13,0.00,0.00,0.00,85.52
99,4.85,21.18,0.27,5.24,18.95,4.00,0.46,19.00,40.05,7.54,22.88,0.07,0.00,0.00,0.00,90.53
100,6.01,25.39,0.67,11.01,18.22,7.00,0.35,22.00,41.25,9.01,28.03,0.08,0.00,0.00,0.00,89.01
Average,8.14,35.12,0.32,6.25,20.52,4.64,0.50,23.02,39.51,8.20,38.01,0.10,0.00,0.00,0.00,93.10
Std Dev,5.87,23.94,0.17,1.98,1.91,1.57,0.17,10.64,4.69,1.47,23.71,0.04,0.00,0.00,0.00,7.29
