Simulation #,Avg Queue Length A,Avg Fuel Wait A,Avg Queue Length B,Avg Fuel Wait B,Clerk Utilization,Pump B Max Queue,Avg Invoice Wait,Pump A Max Queue,Pump B Utilization,Avg Stay Time B,Avg Stay Time A,Avg Invoice Queue Length,Final Queue B,Final Queue A,Final Invoice Queue,Pump A Utilization
1,13.23,51.86,0.37,7.05,19.03,5.00,0.87,33.00,36.91,9.33,58.08,0.19,0.00,23.00,0.00,99.90
2,3.91,16.88,0.36,7.60,19.23,8.00,0.33,15.00,37.05,8.72,19.52,0.09,0.00,7.00,0.00,92.22
3,3.15,15.80,0.43,8.02,17.60,6.00,0.24,13.00,40.87,8.54,16.54,0.05,0.00,6.00,0.00,85.80
4,5.40,24.62,0.47,5.82,18.90,4.00,0.44,20.00,48.24,8.08,28.24,0.08,0.00,2.00,0.00,85.43
5,5.48,23.69,0.16,5.37,17.32,4.00,0.20,18.00,37.26,7.55,26.38,0.04,0.00,8.00,0.00,93.83
6,6.02,27.66,0.43,5.22,19.86,6.00,0.55,19.00,46.74,9.22,30.67,0.13,0.00,10.00,0.00,94.20
7,8.63,35.32,0.18,4.19,18.55,4.00,0.32,23.00,26.48,4.81,39.49,0.08,0.00,8.00,0.00,93.40
8,14.74,56.22,0.24,5.51,20.18,4.00,0.47,38.00,39.19,8.55,59.47,0.10,2.00,4.00,0.00,94.95
9,4.94,23.75,0.25,4.74,22.06,3.00,1.05,17.00,41.01,7.45,26.81,0.19,0.00,0.00,0.00,91.04
10,7.68,31.75,0.27,7.60,22.93,5.00,0.45,20.00,38.78,7.92,36.34,0.10,0.00,0.00,0.00,92.82
Average,7.32,30.75,0.32,6.11,19.57,4.90,0.49,21.60,39.25,8.02,34.15,0.10,0.20,6.80,0.00,92.36
Std Dev,3.68,12.95,0.10,1.28,1.70,1.37,0.26,7.51,5.66,1.23,13.90,0.05,0.60,6.32,0.00,4.04
