Simulation #,Avg Queue Length A,Avg Fuel Wait A,Avg Queue Length B,Avg Fuel Wait B,Clerk Utilization,Pump B Max Queue,Avg Invoice Wait,Pump A Max Queue,Pump B Utilization,Avg Stay Time B,Avg Stay Time A,Avg Invoice Queue Length,Final Queue B,Final Queue A,Final Invoice Queue,Pump A Utilization
1,3.31,16.59,0.39,5.97,17.69,4.00,0.52,14.00,45.13,8.24,20.81,0.10,0.00,0.00,0.00,83.36
2,11.05,44.50,0.51,9.27,21.72,5.00,0.59,27.00,42.85,10.00,46.94,0.13,0.00,0.00,0.00,101.14
3,2.47,11.94,0.41,6.66,22.27,6.00,0.43,12.00,43.41,8.42,15.48,0.09,0.00,0.00,0.00,81.30
4,8.50,38.06,0.46,7.66,18.83,5.00,0.33,27.00,43.82,8.49,41.07,0.07,0.00,0.00,0.00,92.60
5,5.46,23.96,0.64,10.93,21.00,6.00,0.47,21.00,49.08,9.91,28.01,0.09,0.00,0.00,0.00,93.40
6,10.91,49.82,0.27,5.02,26.38,3.00,0.42,32.00,42.05,8.42,53.81,0.10,0.00,0.00,0.00,103.87
7,25.01,97.47,0.34,7.44,24.17,4.00,0.57,50.00,48.37,9.09,94.33,0.11,0.00,0.00,0.00,101.08
8,3.31,15.53,0.15,4.86,22.75,4.00,0.60,11.00,33.77,6.03,18.27,0.12,0.00,0.00,0.00,86.69
9,3.85,18.18,0.16,3.51,19.12,3.00,0.31,16.00,38.47,6.58,19.59,0.06,0.00,0.00,0.00,85.56
10,4.66,20.81,0.31,5.53,20.96,4.00,0.64,17.00,42.86,7.99,23.63,0.13,0.00,0.00,0.00,90.44
Average,7.85,33.69,0.36,6.69,21.49,4.40,0.49,22.70,42.98,8.31,36.19,0.10,0.00,0.00,0.00,91.94
Std Dev,6.45,24.62,0.14,2.10,2.47,1.02,0.11,11.30,4.22,1.20,23.06,0.02,0.00,0.00,0.00,7.55
