Simulation #,Avg Queue Length A,Avg Fuel Wait A,Avg Queue Length B,Avg Fuel Wait B,Clerk Utilization,Pump B Max Queue,Avg Invoice Wait,Pump A Max Queue,Pump B Utilization,Avg Stay Time B,Avg Stay Time A,Avg Invoice Queue Length,Final Queue B,Final Queue A,Final Invoice Queue,Pump A Utilization
1,2.45,12.87,0.15,3.99,19.73,3.00,0.24,9.00,39.07,6.05,15.30,0.05,0.00,1.00,0.00,84.82
2,4.17,18.98,0.32,5.34,19.10,4.00,0.47,16.00,43.32,7.91,21.86,0.08,0.00,0.00,0.00,89.58
3,27.80,101.11,0.24,4.26,21.43,4.00,0.61,47.00,34.88,7.28,108.03,0.12,0.00,36.00,0.00,99.72
4,11.20,43.78,0.29,5.96,23.60,5.00,1.00,34.00,38.92,8.02,38.19,0.19,0.00,26.00,0.00,89.72
5,3.61,15.15,0.58,7.25,25.98,7.00,1.05,16.00,46.15,9.79,21.22,0.24,0.00,0.00,0.00,90.74
6,3.85,16.82,0.24,4.16,21.02,4.00,0.50,16.00,42.25,7.34,20.65,0.10,0.00,7.00,0.00,91.12
7,5.42,21.01,0.52,6.57,24.25,4.00,0.97,25.00,42.38,9.45,23.70,0.16,0.00,20.00,0.00,89.28
8,2.11,10.37,0.30,5.45,20.31,4.00,0.57,11.00,40.46,8.19,14.69,0.11,0.00,4.00,0.00,87.26
9,5.62,26.02,0.12,3.89,16.76,3.00,0.32,21.00,31.51,7.30,29.38,0.08,0.00,4.00,0.00,86.40
10,4.40,20.28,0.31,4.89,19.35,4.00,0.35,19.00,39.48,8.11,25.51,0.07,0.00,0.00,0.00,93.34
11,3.92,18.41,0.28,5.67,17.05,4.00,0.42,18.00,36.45,7.22,20.51,0.10,0.00,8.00,0.00,80.16
12,8.20,35.06,0.24,4.72,19.39,4.00,0.22,30.00,34.69,6.50,37.50,0.06,0.00,0.00,0.00,89.42
13,4.05,18.09,0.34,6.63,18.05,4.00,0.76,13.00,45.25,8.19,23.21,0.17,0.00,8.00,0.00,87.59
14,4.35,19.12,0.23,3.54,20.60,3.00,0.46,17.00,41.91,7.85,21.88,0.08,0.00,7.00,0.00,88.36
15,3.45,15.93,0.41,8.35,18.89,7.00,0.38,15.00,39.62,8.79,18.96,0.07,0.00,5.00,0.00,85.42
16,4.57,19.85,0.28,6.28,20.90,5.00,0.55,14.00,39.23,7.95,23.65,0.12,0.00,2.00,0.00,88.13
17,28.81,108.21,0.54,8.07,20.67,6.00,0.56,47.00,45.05,9.20,111.51,0.12,2.00,32.00,0.00,100.59
18,7.48,30.06,0.19,4.89,20.35,3.00,0.17,18.00,35.87,6.29,33.28,0.06,0.00,9.00,0.00,93.86
19,4.59,20.25,0.45,7.42,24.03,5.00,0.65,19.00,46.27,10.37,21.07,0.19,0.00,7.00,0.00,80.81
20,3.68,16.60,0.44,7.13,20.18,6.00,0.53,19.00,37.86,9.32,19.02,0.11,0.00,12.00,0.00,82.83
21,6.49,25.29,0.29,5.37,19.83,4.00,0.41,29.00,38.60,8.32,26.62,0.09,0.00,27.00,0.00,84.51
