Simulation #,Avg Queue Length A,Avg Fuel Wait A,Avg Queue Length B,Avg Fuel Wait B,Clerk Utilization,Pump B Max Queue,Avg Invoice Wait,Pump A Max Queue,Pump B Utilization,Avg Stay Time B,Avg Stay Time A,Avg Invoice Queue Length,Final Queue B,Final Queue A,Final Invoice Queue,Pump A Utilization
1,12.67,49.87,0.19,4.86,18.75,3.00,0.32,27.00,39.63,6.28,55.10,0.07,0.00,0.00,0.00,100.52
2,12.58,47.22,0.31,6.30,26.12,5.00,0.72,29.00,39.95,8.75,49.52,0.14,0.00,0.00,0.00,100.54
3,14.86,61.57,0.26,6.03,21.82,5.00,0.52,31.00,39.81,6.89,61.79,0.10,0.00,0.00,0.00,97.55
4,3.46,14.95,0.25,5.57,19.73,3.00,0.64,14.00,43.55,7.33,19.54,0.12,0.00,0.00,0.00,87.58
5,3.50,15.79,0.23,3.53,23.00,3.00,0.53,14.00,42.18,6.40,19.68,0.12,0.00,0.00,0.00,88.05
6,4.20,18.35,0.21,4.13,21.22,3.00,0.63,15.00,36.91,7.33,20.80,0.12,0.00,0.00,0.00,91.69
7,3.48,16.11,0.34,6.89,22.41,5.00,0.56,16.00,41.05,8.68,18.46,0.12,0.00,0.00,0.00,86.78
8,21.16,83.16,0.25,3.85,22.70,3.00,0.40,36.00,48.42,7.45,89.47,0.09,0.00,0.00,0.00,108.12
9,7.29,34.16,0.47,6.93,22.78,6.00,0.62,26.00,41.40,8.13,36.14,0.12,0.00,0.00,0.00,96.98
10,2.24,11.25,0.49,8.26,22.76,5.00,0.48,10.00,38.67,8.88,14.18,0.10,0.00,0.00,0.00,80.37
11,3.52,15.55,0.58,8.87,21.15,6.00,0.78,16.00,49.06,10.99,18.56,0.19,0.00,0.00,0.00,84.62
12,3.18,16.72,0.24,5.12,17.91,4.00,0.19,16.00,39.12,7.34,18.50,0.04,0.00,0.00,0.00,81.19
13,16.16,65.71,0.24,6.59,25.82,5.00,0.49,56.00,33.97,7.73,59.97,0.12,0.00,0.00,0.00,95.45
14,9.73,41.61,0.33,8.04,26.10,6.00,0.69,29.00,39.30,9.28,42.60,0.13,0.00,0.00,0.00,96.45
15,7.08,31.63,0.44,7.76,21.57,7.00,0.86,25.00,42.76,9.89,34.46,0.17,0.00,0.00,0.00,86.52
16,4.64,20.57,0.17,4.25,22.90,4.00,0.60,16.00,32.35,5.27,23.33,0.14,0.00,0.00,0.00,91.76
17,7.58,31.19,0.29,7.87,19.59,6.00,0.56,27.00,35.17,8.80,35.42,0.12,0.00,0.00,0.00,94.89
18,8.32,41.16,0.20,4.56,18.67,4.00,0.46,33.00,35.81,7.01,41.77,0.09,0.00,0.00,0.00,95.35
19,6.07,26.04,0.19,4.95,19.53,5.00,0.24,18.00,33.39,7.72,29.19,0.04,0.00,0.00,0.00,95.49
20,1.89,9.82,0.39,6.96,18.36,5.00,0.41,10.00,40.08,8.43,12.83,0.09,0.00,0.00,0.00,74.53
21,4.73,23.89,0.65,10.85,24.06,6.00,0.58,18.00,47.12,10.63,25.76,0.11,0.00,0.00,0.00,82.69
22,4.57,19.55,0.24,6.45,18.95,4.00,0.55,13.00,37.34,6.97,26.11,0.12,0.00,0.00,0.00,94.27
23,19.37,75.94,0.25,5.33,19.37,4.00,0.35,47.00,41.44,6.70,84.27,0.07,0.00,0.00,0.00,108.99
24,6.40,27.53,0.20,5.15,16.32,3.00,0.29,24.00,35.65,7.26,27.50,0.07,0.00,0.00,0.00,94.34
25,11.52,52.07,0.22,3.47,22.68,3.00,0.59,35.00,37.97,6.32,51.44,0.11,0.00,0.00,0.00,100.60
26,11.03,48.58,0.28,6.37,18.53,5.00,0.30,31.00,40.34,8.04,48.61,0.09,0.00,0.00,0.00,92.53
27,7.33,30.10,0.37,6.12,22.39,6.00,0.61,27.00,39.08,9.23,34.24,0.14,0.00,0.00,0.00,95.66
28,7.44,33.24,0.33,7.75,20.49,5.00,0.50,23.00,41.43,8.24,34.97,0.09,0.00,0.00,0.00,96.00
29,7.90,30.56,0.52,7.19,18.61,10.00,0.36,25.00,39.53,7.63,31.81,0.07,0.00,0.00,0.00,94.99
30,5.03,22.02,0.16,4.63,22.49,4.00,0.51,18.00,27.52,6.45,24.53,0.11,0.00,0.00,0.00,85.59
31,5.11,22.53,0.43,8.55,15.76,7.00,0.28,19.00,46.10,10.64,24.28,0.05,0.00,0.00,0.00,97.45
32,5.43,24.38,0.35,6.76,22.22,5.00,0.52,19.00,47.40,8.81,26.62,0.11,0.00,0.00,0.00,95.52
33,14.37,57.84,0.32,8.01,20.95,5.00,0.31,27.00,35.94,8.09,62.23,0.06,0.00,0.00,0.00,101.86
34,20.98,85.36,0.30,5.44,23.04,5.00,0.61,41.00,38.74,7.28,89.64,0.12,0.00,0.00,0.00,104.88
35,14.17,56.07,0.30,5.25,22.81,5.00,0.67,36.00,45.03,7.89,59.52,0.15,0.00,0.00,0.00,101.77
36,2.09,9.88,0.60,9.28,19.71,9.00,0.46,10.00,44.86,11.97,14.39,0.11,0.00,0.00,0.00,84.52
37,7.87,33.57,0.20,5.04,21.63,4.00,0.40,22.00,41.11,8.38,38.41,0.08,0.00,0.00,0.00,100.85
38,5.91,24.47,0.49,7.87,20.99,7.00,0.66,17.00,50.19,9.03,27.90,0.14,0.00,0.00,0.00,94.41
39,7.16,29.49,0.22,4.75,18.37,5.00,0.21,19.00,42.13,6.72,31.96,0.06,0.00,0.00,0.00,98.27
40,6.32,28.13,0.11,3.83,22.22,3.00,0.50,26.00,31.78,6.91,30.50,0.07,0.00,0.00,0.00,99.84
41,18.60,73.95,0.21,6.01,22.96,4.00,0.53,40.00,33.32,7.60,77.53,0.11,0.00,0.00,0.00,107.69
42,15.27,62.88,0.25,4.28,20.82,4.00,0.57,40.00,34.89,6.35,63.05,0.15,0.00,0.00,0.00,94.43
43,7.42,32.42,0.20,5.09,20.00,4.00,0.45,27.00,37.90,7.37,35.14,0.10,0.00,0.00,0.00,95.15
44,15.78,61.50,0.47,7.27,25.82,4.00,0.82,33.00,47.64,10.16,70.69,0.19,0.00,0.00,0.00,105.93
45,13.13,54.13,0.28,5.27,16.91,4.00,0.34,40.00,40.26,7.78,55.84,0.06,0.00,0.00,0.00,104.20
46,13.39,58.73,0.28,5.25,21.97,4.00,0.42,35.00,43.54,7.56,63.59,0.07,0.00,0.00,0.00,107.84
47,5.36,23.34,0.34,6.47,17.51,5.00,0.42,21.00,41.50,8.21,26.55,0.08,0.00,0.00,0.00,88.20
48,13.46,52.89,0.32,5.75,20.91,4.00,0.40,32.00,41.30,7.09,52.39,0.11,0.00,0.00,0.00,99.89
49,4.27,20.38,0.30,5.28,16.00,5.00,0.33,17.00,35.22,6.42,22.27,0.07,0.00,0.00,0.00,92.34
50,8.89,42.20,0.28,6.38,19.80,6.00,0.26,36.00,43.26,7.63,43.23,0.07,0.00,0.00,0.00,95.78
51,15.30,63.15,0.61,11.27,17.77,11.00,0.38,34.00,39.05,9.63,67.69,0.07,0.00,0.00,0.00,99.43
52,5.14,24.66,0.40,8.19,20.38,5.00,0.33,22.00,34.62,8.40,25.42,0.07,0.00,0.00,0.00,90.31
53,20.70,82.61,0.21,5.90,22.43,3.00,0.50,47.00,38.17,7.23,84.47,0.11,0.00,0.00,0.00,105.40
54,10.32,42.21,0.18,5.09,20.96,5.00,0.45,22.00,31.97,7.29,46.04,0.10,0.00,0.00,0.00,104.04
55,4.13,17.46,0.20,5.19,16.70,4.00,0.26,13.00,34.14,6.86,21.46,0.05,0.00,0.00,0.00,93.07
56,4.63,20.18,0.42,7.87,20.84,5.00,0.40,15.00,34.30,10.45,25.56,0.08,0.00,0.00,0.00,96.69
57,22.74,87.57,0.18,4.81,18.58,4.00,0.25,36.00,37.50,7.58,94.31,0.06,0.00,0.00,0.00,106.76
58,4.08,21.41,0.21,5.83,17.97,4.00,0.33,25.00,36.28,7.14,23.33,0.07,0.00,0.00,0.00,89.78
59,4.64,22.37,0.44,6.79,26.63,6.00,0.95,22.00,49.81,9.12,24.20,0.19,0.00,0.00,0.00,93.56
60,5.02,22.82,0.28,5.08,21.94,5.00,0.27,17.00,39.53,8.54,25.68,0.05,0.00,0.00,0.00,84.28
61,4.53,21.94,0.30,5.81,19.53,6.00,0.54,19.00,39.30,7.44,24.75,0.10,0.00,0.00,0.00,86.19
62,6.62,25.86,0.21,4.69,19.42,3.00,0.25,29.00,36.97,7.15,31.52,0.05,0.00,0.00,0.00,97.09
63,3.60,16.14,0.31,5.57,18.91,4.00,0.48,16.00,41.62,7.41,17.37,0.11,0.00,0.00,0.00,91.17
64,7.35,32.74,0.59,9.66,20.85,5.00,0.33,24.00,46.35,11.03,35.70,0.08,0.00,0.00,0.00,92.16
65,15.46,61.86,0.16,3.73,19.89,5.00,0.44,32.00,34.04,6.32,65.86,0.08,0.00,0.00,0.00,100.86
66,6.23,25.39,0.27,5.64,22.76,4.00,0.57,16.00,39.97,7.95,30.63,0.12,0.00,0.00,0.00,95.32
67,8.59,38.28,0.20,4.50,21.89,3.00,0.49,27.00,38.36,7.70,42.66,0.10,0.00,0.00,0.00,96.49
68,6.59,28.81,0.38,6.63,24.38,3.00,0.53,21.00,47.22,9.93,32.22,0.11,0.00,0.00,0.00,90.15
69,10.94,44.60,0.21,4.43,22.86,3.00,0.56,38.00,40.36,7.26,44.69,0.13,0.00,0.00,0.00,97.54
70,7.33,33.75,0.35,6.67,19.51,7.00,0.29,24.00,43.91,8.49,36.73,0.06,0.00,0.00,0.00,95.14
71,7.63,33.98,0.74,10.59,21.42,8.00,0.83,22.00,41.77,11.94,39.14,0.17,0.00,0.00,0.00,97.72
72,11.80,44.25,0.31,6.23,22.14,4.00,0.58,29.00,44.24,8.56,49.54,0.12,0.00,0.00,0.00,99.81
73,6.18,27.48,0.33,5.85,19.87,5.00,0.36,20.00,37.68,7.93,29.77,0.10,0.00,0.00,0.00,90.77
74,17.04,65.57,0.28,6.11,23.73,5.00,0.60,31.00,37.18,8.28,69.99,0.14,0.00,0.00,0.00,106.93
75,5.46,24.39,0.35,6.56,23.15,4.00,0.73,19.00,41.58,9.32,28.05,0.19,0.00,0.00,0.00,86.92
76,7.65,29.63,0.36,6.09,22.51,6.00,1.14,28.00,38.75,8.54,31.02,0.26,0.00,0.00,0.00,93.98
77,20.59,80.77,0.22,4.88,17.65,4.00,0.18,47.00,46.39,7.57,92.38,0.04,0.00,0.00,0.00,108.74
78,11.74,48.39,0.19,4.73,20.66,4.00,0.42,29.00,36.00,7.02,51.60,0.08,0.00,0.00,0.00,93.56
79,3.87,15.02,0.48,9.20,22.54,5.00,0.41,17.00,42.88,9.58,18.30,0.10,0.00,0.00,0.00,90.84
80,5.40,23.24,0.33,5.17,20.93,5.00,0.42,23.00,50.17,8.21,25.46,0.10,0.00,0.00,0.00,88.27
81,6.93,30.96,0.29,6.56,18.59,5.00,0.43,27.00,39.57,7.69,31.14,0.08,0.00,0.00,0.00,91.99
82,3.89,19.36,0.31,7.80,18.64,5.00,0.43,16.00,39.09,8.64,23.24,0.06,0.00,0.00,0.00,93.50
