Simulation #,Avg Queue Length A,Avg Fuel Wait A,Avg Queue Length B,Avg Fuel Wait B,Clerk Utilization,Pump B Max Queue,Avg Invoice Wait,Pump A Max Queue,Pump B Utilization,Avg Stay Time B,Avg Stay Time A,Avg Invoice Queue Length,Final Queue B,Final Queue A,Final Invoice Queue,Pump A Utilization
1,6.61,30.99,0.25,5.80,16.90,5.00,0.49,24.00,35.38,7.70,31.78,0.10,0.00,0.00,0.00,93.31
2,4.84,27.10,0.23,4.62,16.31,3.00,0.14,20.00,36.92,6.79,26.91,0.04,0.00,0.00,0.00,86.52
3,6.15,28.11,0.19,3.64,19.79,4.00,0.34,19.00,37.20,7.23,29.04,0.07,0.00,0.00,0.00,92.54
4,2.77,12.04,0.63,8.72,25.48,9.00,0.45,11.00,44.07,9.39,14.91,0.09,0.00,0.00,0.00,86.48
5,9.36,40.17,0.55,9.27,19.78,6.00,0.46,28.00,44.48,11.03,43.17,0.09,0.00,0.00,0.00,92.31
6,10.57,40.94,0.27,4.85,21.71,4.00,0.53,28.00,39.01,7.39,45.86,0.11,0.00,0.00,0.00,95.70
7,5.91,25.35,0.24,5.02,25.62,5.00,0.71,21.00,38.87,7.80,31.89,0.16,0.00,0.00,0.00,98.75
8,15.76,66.50,0.17,4.29,18.03,4.00,0.66,40.00,35.11,6.51,69.83,0.14,0.00,0.00,0.00,99.13
9,7.04,29.30,0.33,6.85,18.90,3.00,0.16,19.00,43.11,7.91,30.75,0.05,0.00,0.00,0.00,94.89
10,9.97,47.57,1.18,15.85,24.62,13.00,1.13,28.00,45.80,17.47,42.86,0.23,0.00,0.00,0.00,88.51
Average,7.90,34.81,0.40,6.89,20.71,5.60,0.51,23.80,40.00,8.92,36.70,0.11,0.00,0.00,0.00,92.82
Std Dev,3.47,14.11,0.30,3.47,3.30,2.97,0.27,7.40,3.80,3.12,14.05,0.05,0.00,0.00,0.00,4.32
